Country,GDP
Afghanistan,17083574000
Albania,13582024000
Algeria,1.74E+11
American Samoa,648340500
Andorra,2911602700
Angola,79346280000
Antigua and Barbuda,1369612300
Argentina,5.68E+11
Armenia,12621676000
Aruba,3225070300
Australia,1.52E+12
Austria,4.05E+11
Azerbaijan,54180410000
Bahamas,10893360000
Bahrain,33998540000
Bangladesh,2.85E+11
Barbados,4161995800
Belarus,59948356000
Belgium,4.97E+11
Belize,2293518800
Benin,15779239000
Bermuda,6718028300
Bhutan,2314503200
Bolivia,36984185000
Bosnia and Herzegovina,19175766000
Botswana,16479434000
Brazil,1.83E+12
Brunei,13215733000
Bulgaria,59382313000
Burkina Faso,16347272000
Burundi,3276109800
Cambodia,23721260000
Cameroon,38971900000
Canada,1.68E+12
Cape Verde,1745467500
Cayman Islands,5217706500
Central African Republic,2022834700
Chad,10233349000
Chile,2.75E+11
China,1.58E+13
Colombia,3.31E+11
Comoros,1113744500
Congo,8846463000
Costa Rica,66456646000
Cote d'Ivoire,65342546000
Croatia,59133846000
Cuba,82070970000
Curacao,2382020000
Cyprus,25506367000
Czechia,2.11E+11
Democratic Republic of Congo,48065880000
Denmark,3.42E+11
Djibouti,3212645600
Dominica,504333900
Dominican Republic,93508040000
East Asia and Pacific (WB),2.78E+13
East Timor,2722486500
Ecuador,97753880000
Egypt,4.26E+11
El Salvador,26104797000
Equatorial Guinea,9534008000
Estonia,28890862000
Eswatini,4677967400
Ethiopia,1.00E+11
Europe and Central Asia (WB),2.23E+13
European Union (27),1.47E+13
Fiji,4107980000
Finland,2.57E+11
France,2.58E+12
French Polynesia,5381881300
Gabon,15398038000
Gambia,1759428000
Georgia,18290210000
Germany,3.55E+12
Ghana,66149904000
Greece,2.01E+11
Grenada,1024705200
Guam,5342045000
Guatemala,75085040000
Guinea,13163555000
Guinea-Bissau,1265072800
Guyana,8735456000
Haiti,14687836000
High-income countries,5.28E+13
Honduras,24956121000
Hong Kong,3.30E+11
Hungary,1.51E+11
Iceland,20271528000
India,2.73E+12
Indonesia,1.07E+12
Iran,4.70E+11
Iraq,1.84E+11
Ireland,4.48E+11
Israel,3.82E+11
Italy,1.86E+12
Jamaica,14058989000
Japan,4.44E+12
Jordan,42157527000
Kazakhstan,2.15E+11
Kenya,90372800000
Kiribati,178690720
Kosovo,7912073700
Kyrgyzstan,7517386000
Laos,19054756000
Latin America and Caribbean (WB),5.56E+12
Latvia,31300856000
Lebanon,34090267000
Lesotho,2221461000
Liberia,3270920200
Libya,60910776000
Lithuania,51069702000
Low-income countries,5.45E+11
Lower-middle-income countries,8.08E+12
Luxembourg,68993900000
Macao,27876942000
Madagascar,12784234000
Malawi,7744644000
Malaysia,3.55E+11
Maldives,5114230000
Mali,16313965000
Malta,14462554000
Marshall Islands,221287100
Mauritania,7429785600
Mauritius,12285243000
Mexico,1.21E+12
Micronesia (country),316177000
Middle East and North Africa (WB),3.49E+12
Middle-income countries,3.32E+13
Moldova,9662250000
Monaco,7490920400
Mongolia,13749956000
Montenegro,4551482400
Morocco,1.24E+11
Mozambique,18383776000
Myanmar,70876450000
Namibia,10617235000
Nauru,92009870
Nepal,31149050000
Netherlands,8.47E+11
New Zealand,2.07E+11
Nicaragua,14063480000
Niger,12821088000
Nigeria,5.18E+11
North America (WB),2.22E+13
North Macedonia,10918282000
Norway,4.19E+11
Oman,82728070000
Pakistan,3.41E+11
Palau,212807410
Palestine,15027100000
Panama,60575130000
Papua New Guinea,24008698000
Paraguay,41998594000
Peru,2.17E+11
Philippines,3.79E+11
Poland,5.98E+11
Portugal,2.15E+11
Puerto Rico,92384730000
Qatar,1.64E+11
Romania,2.21E+11
Russia,1.49E+12
Rwanda,11983601000
Saint Kitts and Nevis,894798340
Saint Lucia,1681956400
Saint Vincent and the Grenadines,827008830
Samoa,843469440
Sao Tome and Principe,377594180
Saudi Arabia,6.72E+11
Senegal,24246002000
Serbia,48616505000
Seychelles,1651621600
Sierra Leone,5181035000
Singapore,3.61E+11
Slovakia,99037470000
Slovenia,52164080000
Solomon Islands,1434447600
Somalia,7302356500
South Africa,3.53E+11
South Asia (WB),3.51E+12
South Korea,1.69E+12
Spain,1.24E+12
Sri Lanka,96953500000
Sub-Saharan Africa (WB),1.89E+12
Sudan,79726260000
Suriname,4296021000
Sweden,5.65E+11
Switzerland,7.60E+11
Tajikistan,12476305000
Tanzania,64155324000
Thailand,4.38E+11
Togo,5460540000
Tonga,475116320
Trinidad and Tobago,21633220000
Tunisia,46984710000
Turkey,1.13E+12
Turks and Caicos Islands,819238660
Tuvalu,47924612
Uganda,42210587000
Ukraine,1.01E+11
United Arab Emirates,3.98E+11
United Kingdom,3.04E+12
United States,2.05E+13
Upper-middle-income countries,2.52E+13
Uruguay,54390980000
Uzbekistan,1.16E+11
Vanuatu,821237700
Vietnam,3.32E+11
World,8.69E+13
Zambia,24495921000
Zimbabwe,20618836000
